"emerald_id","emerald_hex","emerald_symbol","display_name","price","hold_effect","hold_effect_param","importance","registrability","pocket","use_type","field_use_func","battle_usage","battle_use_func","secondary_id","description_symbol","source_commit"
"0","0x000","ITEM_NONE","????????","0","0","0","0","FALSE","POCKET_ITEMS","ITEM_USE_BAG_MENU","ItemUseOutOfBattle_CannotUse","0","NULL","0","sDummyDesc","5eff78649e7170a877b961ef0b3da13b81a16038"
"1","0x001","ITEM_MASTER_BALL","MASTER BALL","0","0","0","0","FALSE","POCKET_POKE_BALLS","ITEM_MASTER_BALL - FIRST_BALL","NULL","ITEM_B_USE_OTHER","ItemUseInBattle_PokeBall","ITEM_MASTER_BALL - FIRST_BALL","sMasterBallDesc","5eff78649e7170a877b961ef0b3da13b81a16038"
"2","0x002","ITEM_ULTRA_BALL","ULTRA BALL","1200","0","0","0","FALSE","POCKET_POKE_BALLS","ITEM_ULTRA_BALL - FIRST_BALL","NULL","ITEM_B_USE_OTHER","ItemUseInBattle_PokeBall","ITEM_ULTRA_BALL - FIRST_BALL","sUltraBallDesc","5eff78649e7170a877b961ef0b3da13b81a16038"
"3","0x003","ITEM_GREAT_BALL","GREAT BALL","600","0","0","0","FALSE","POCKET_POKE_BALLS","ITEM_GREAT_BALL - FIRST_BALL","NULL","ITEM_B_USE_OTHER","ItemUseInBattle_PokeBall","ITEM_GREAT_BALL - FIRST_BALL","sGreatBallDesc","5eff78649e7170a877b961ef0b3da13b81a16038"
"4","0x004","ITEM_POKE_BALL","POKé BALL","200","0","0","0","FALSE","POCKET_POKE_BALLS","ITEM_POKE_BALL - FIRST_BALL","NULL","ITEM_B_USE_OTHER","ItemUseInBattle_PokeBall","ITEM_POKE_BALL - FIRST_BALL","sPokeBallDesc","5eff78649e7170a877b961ef0b3da13b81a16038"
"5","0x005","ITEM_SAFARI_BALL","SAFARI BALL","0","0","0","0","FALSE","POCKET_POKE_BALLS","ITEM_SAFARI_BALL - FIRST_BALL","NULL","ITEM_B_USE_OTHER","ItemUseInBattle_PokeBall","ITEM_SAFARI_BALL - FIRST_BALL","sSafariBallDesc","5eff78649e7170a877b961ef0b3da13b81a16038"
"6","0x006","ITEM_NET_BALL","NET BALL","1000","0","0","0","FALSE","POCKET_POKE_BALLS","ITEM_NET_BALL - FIRST_BALL","NULL","ITEM_B_USE_OTHER","ItemUseInBattle_PokeBall","ITEM_NET_BALL - FIRST_BALL","sNetBallDesc","5eff78649e7170a877b961ef0b3da13b81a16038"
"7","0x007","ITEM_DIVE_BALL","DIVE BALL","1000","0","0","0","FALSE","POCKET_POKE_BALLS","ITEM_DIVE_BALL - FIRST_BALL","NULL","ITEM_B_USE_OTHER","ItemUseInBattle_PokeBall","ITEM_DIVE_BALL - FIRST_BALL","sDiveBallDesc","5eff78649e7170a877b961ef0b3da13b81a16038"
"8","0x008","ITEM_NEST_BALL","NEST BALL","1000","0","0","0","FALSE","POCKET_POKE_BALLS","ITEM_NEST_BALL - FIRST_BALL","NULL","ITEM_B_USE_OTHER","ItemUseInBattle_PokeBall","ITEM_NEST_BALL - FIRST_BALL","sNestBallDesc","5eff78649e7170a877b961ef0b3da13b81a16038"
"9","0x009","ITEM_REPEAT_BALL","REPEAT BALL","1000","0","0","0","FALSE","POCKET_POKE_BALLS","ITEM_REPEAT_BALL - FIRST_BALL","NULL","ITEM_B_USE_OTHER","ItemUseInBattle_PokeBall","ITEM_REPEAT_BALL - FIRST_BALL","sRepeatBallDesc","5eff78649e7170a877b961ef0b3da13b81a16038"
