id,diamond_pearl,platinum,heartgold_soulsilver,relationship,note
"0","ITEM_NONE","ITEM_NONE","ITEM_NONE","common",""
"1","ITEM_MASTER_BALL","ITEM_MASTER_BALL","ITEM_MASTER_BALL","common",""
"2","ITEM_ULTRA_BALL","ITEM_ULTRA_BALL","ITEM_ULTRA_BALL","common",""
"3","ITEM_GREAT_BALL","ITEM_GREAT_BALL","ITEM_GREAT_BALL","common",""
"4","ITEM_POKE_BALL","ITEM_POKE_BALL","ITEM_POKE_BALL","common",""
"5","ITEM_SAFARI_BALL","ITEM_SAFARI_BALL","ITEM_SAFARI_BALL","common",""
"6","ITEM_NET_BALL","ITEM_NET_BALL","ITEM_NET_BALL","common",""
"7","ITEM_DIVE_BALL","ITEM_DIVE_BALL","ITEM_DIVE_BALL","common",""
"8","ITEM_NEST_BALL","ITEM_NEST_BALL","ITEM_NEST_BALL","common",""
"9","ITEM_REPEAT_BALL","ITEM_REPEAT_BALL","ITEM_REPEAT_BALL","common",""
"10","ITEM_TIMER_BALL","ITEM_TIMER_BALL","ITEM_TIMER_BALL","common",""
"11","ITEM_LUXURY_BALL","ITEM_LUXURY_BALL","ITEM_LUXURY_BALL","common",""
"12","ITEM_PREMIER_BALL","ITEM_PREMIER_BALL","ITEM_PREMIER_BALL","common",""
"13","ITEM_DUSK_BALL","ITEM_DUSK_BALL","ITEM_DUSK_BALL","common",""
"14","ITEM_HEAL_BALL","ITEM_HEAL_BALL","ITEM_HEAL_BALL","common",""
"15","ITEM_QUICK_BALL","ITEM_QUICK_BALL","ITEM_QUICK_BALL","common",""
"16","ITEM_CHERISH_BALL","ITEM_CHERISH_BALL","ITEM_CHERISH_BALL","common",""
"17","ITEM_POTION","ITEM_POTION","ITEM_POTION","common",""
"18","ITEM_ANTIDOTE","ITEM_ANTIDOTE","ITEM_ANTIDOTE","common",""
"19","ITEM_BURN_HEAL","ITEM_BURN_HEAL","ITEM_BURN_HEAL","common",""
"20","ITEM_ICE_HEAL","ITEM_ICE_HEAL","ITEM_ICE_HEAL","common",""
"21","ITEM_AWAKENING","ITEM_AWAKENING","ITEM_AWAKENING","common",""
"22","ITEM_PARLYZ_HEAL","ITEM_PARLYZ_HEAL","ITEM_PARLYZ_HEAL","common",""
"23","ITEM_FULL_RESTORE","ITEM_FULL_RESTORE","ITEM_FULL_RESTORE","common",""
