species,form_or_system,state_model,trigger,parameter_effect,persistence
Mega Evolution,Mega,battle_only,"Key Stone + compatible held Mega Stone; Rayquaza uses Dragon Ascent","stats/type/ability/presentation may change","until battle end"
Kyogre,Primal,battle_only_auto,"hold Blue Orb and enter battle","100/150/90/90/180/160; Water; Primordial Sea","battle"
Groudon,Primal,battle_only_auto,"hold Red Orb and enter battle","100/180/160/90/150/90; Ground/Fire; Desolate Land","battle"
Aegislash,Blade,battle_only,"use damaging move with Stance Change","60/150/50/60/150/50","until King's Shield or switch"
Aegislash,Shield,battle_only,"default; King's Shield; switch","60/50/150/60/50/150","battle"
Furfrou,9 trims,persistent_timed,"grooming NPC","cosmetic; same stats/type/ability","5 days then Natural"
Vivillon,20 patterns,generated_identity,"3DS region/location at generation","cosmetic pattern","permanent"
Flabebe line,5 flower colors,generated_identity,"encounter/breeding","cosmetic identity retained through evolution","permanent"
Floette,Eternal Flower,data_only,"unobtainable in Gen VI","74/65/67/92/125/128; Fairy; Flower Veil; Light of Ruin","persistent if present"
Pumpkaboo,4 sizes,generated_identity,"encounter/breeding","HP/Speed vary by size","permanent"
Gourgeist,4 sizes,generated_identity,"inherits size","HP/Atk/Speed vary by size","permanent"
Xerneas,Active,battle_visual,"enter battle/Contest","visual only","battle"
Hoopa,Unbound,persistent_timed,"use Prison Bottle","80/160/60/80/170/130; Psychic/Dark","up to 3 days; Gen VI PC reset"
Cosplay Pikachu,5 costumes,persistent_script,"Contest Hall costume change","costume-specific move synchronization","until changed"
Arceus,Fairy,persistent_derived,"hold Pixie Plate","Fairy type + Fairy Judgment","while held"
