game,species,form_or_state,state_model,trigger,hp,atk,def,spe,spa,spd,type1,type2,auxiliary_state,notes
SV,Paldean Tauros,Combat Breed,persistent_regional,encounter/breed identity,,,,,,,,,form,"Raging Bull Fighting"
SV,Paldean Tauros,Blaze Breed,persistent_regional,encounter/version identity,,,,,,,,,form,"Fighting/Fire; Raging Bull Fire"
SV,Paldean Tauros,Aqua Breed,persistent_regional,encounter/version identity,,,,,,,,,form,"Fighting/Water; Raging Bull Water"
SV,Palafin,Zero,battle_base,start battle,100,70,72,100,53,62,Water,Water,battleForm,
SV,Palafin,Hero,battle_only,switch out then return,100,160,97,100,106,87,Water,Water,battleForm,"Zero to Hero"
SV,Dudunsparce,Three-Segment,persistent_generated,evolution RNG,,,,,,,,,form,"approx 1%"
SV,Maushold,Family of Three,persistent_generated,evolution RNG,,,,,,,,,form,"approx 1%"
SV,Tatsugiri,Curly,persistent_identity,generated/encounter,,,,,,,,,form,"Order Up -> Dondozo Attack +1"
SV,Tatsugiri,Droopy,persistent_identity,generated/encounter,,,,,,,,,form,"Order Up -> Dondozo Defense +1"
SV,Tatsugiri,Stretchy,persistent_identity,generated/encounter,,,,,,,,,form,"Order Up -> Dondozo Speed +1"
SV,Squawkabilly,4 Plumages,persistent_identity,encounter,,,,,,,,,form,"some ability-slot differences"
SV,Gimmighoul,Chest,persistent_identity,encounter,45,30,70,10,75,70,Ghost,Ghost,form,
SV,Gimmighoul,Roaming,persistent_identity,encounter/transfer,45,30,25,80,75,45,Ghost,Ghost,form,
SV,Ursaluna,Bloodmoon,persistent_special,special encounter,113,70,120,52,135,65,Ground,Normal,form,"Mind's Eye"
SV,Poltchageist,Counterfeit,persistent_authenticity,encounter/breed,,,,,,,,,form,"Unremarkable Teacup"
SV,Poltchageist,Artisan,persistent_authenticity,encounter,,,,,,,,,form,"Masterpiece Teacup"
SV,Ogerpon,Teal Mask,persistent_item,mask selection,80,120,84,110,60,96,Grass,Grass,form+TeraType,"Defiant; Tera Grass; Embody Aspect Speed"
SV,Ogerpon,Wellspring,persistent_item,hold Wellspring Mask,80,120,84,110,60,96,Grass,Water,form+TeraType,"Water Absorb; Tera Water; SpDef boost"
SV,Ogerpon,Hearthflame,persistent_item,hold Hearthflame Mask,80,120,84,110,60,96,Grass,Fire,form+TeraType,"Mold Breaker; Tera Fire; Attack boost"
SV,Ogerpon,Cornerstone,persistent_item,hold Cornerstone Mask,80,120,84,110,60,96,Grass,Rock,form+TeraType,"Sturdy; Tera Rock; Defense boost"
SV,Terapagos,Normal,battle_base,outside/start,90,65,85,60,65,85,Normal,Normal,battleForm,"Tera Shift"
SV,Terapagos,Terastal,battle_auto,on battle entry,95,95,110,85,105,110,Normal,Normal,battleForm,"Tera Shell"
SV,Terapagos,Stellar,battle_transform,Terastallize,160,105,110,85,130,110,Stellar,Stellar,battleForm+TeraState,"Teraform Zero"
SV,Any Pokemon,Terastallized,battle_transform,trainer command,,,,,,,,,TeraTypeOriginal+Override,"Form stored separately"
ZA,Mega Evolution,Mega,battle_resource_transform,Key Stone + Mega Stone + Mega Gauge,,,,,,,,,MegaPower,"resource drains in real time"
ZA,Rogue Mega,Mega,scripted_wild_transform,high Mega Power/script,,,,,,,,,bossState,"wild/boss path"
ZA,Mega Lucario Z,Z Mega,battle_resource_transform,Mega Stone Z + Mega Gauge,,,,,,,,,megaVariant=Z,"faster/no wind-up; higher Mega Power drain"
ZA,Mega Garchomp Z,Z Mega,battle_resource_transform,Mega Stone Z + Mega Gauge,,,,,,,,,megaVariant=Z,"Z Mega subtype"
