generation,project,title,revision,role,filename,size_bytes,sha1,sha256,crc32,platform,game_code,header_version,cartridge,save_type,rtc,cgb_mode,sgb,header_checksum_ok,global_checksum_ok
1,BLUE,Ao,Rev 0,original-remake-source,Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,524288,0da501e3e5c51ab8fef55b092dcdd7e6b050e424,71a70e5f77c109177d21c998310ffe01a68e8cd2f41e72e7129093b890c7d3d1,e4468d14,GB/GBC,,0,MBC1+RAM+BATTERY,32 KiB SRAM,False,DMG,True,True,True
1,GREEN,Midori,Rev 0,original-remake-source,Pocket Monsters - Midori (Japan) (SGB Enhanced).gb,524288,82c0eef40a5e2423699d9fd8ba15dfaa8b51d196,6576b4e0979e93d4a6fa02db893c294b7aeab3b841b1acc8658bc10b3554f33c,baeacd2b,GB/GBC,,0,MBC1+RAM+BATTERY,32 KiB SRAM,False,DMG,True,True,True
1,GREEN,Midori,Rev A,original-remake-source,Pocket Monsters - Midori (Japan) (Rev A) (SGB Enhanced).gb,524288,4b97cd44aa3f0dd290bfe7b3ac17b7bd8270897b,3f0dc460ca8d06be1c9ac96307c939c0ea7baa366b40c2f1f4ad63242b6c4816,37ae8dc4,GB/GBC,,1,MBC1+RAM+BATTERY,32 KiB SRAM,False,DMG,True,True,True
1,RED,Aka,Rev 0,original-remake-source,Pocket Monsters - Aka (Japan) (SGB Enhanced).gb,524288,0623ad12f48c259447980d68bd85ddbf8204b2cd,392ce450d708c8d127aaed7afc20001a48625bd83a5fa5325be82f5c0972ccfa,13652705,GB/GBC,,0,MBC1+RAM+BATTERY,32 KiB SRAM,False,DMG,True,True,True
1,RED,Aka,Rev A,original-remake-source,Pocket Monsters - Aka (Japan) (Rev A) (SGB Enhanced).gb,524288,ef74c79cded14204ac79e77f4964d9cb25003120,751abb1fb2b2d6b91dc631fa10ed36bd07f682cb5c3febe6c8f0e3dabc1fae1c,b77be1e0,GB/GBC,,1,MBC1+RAM+BATTERY,32 KiB SRAM,False,DMG,True,True,True
1,YELLOW,Pikachu,Rev 0A / header v0,original-remake-source,Pocket Monsters - Pikachu (Japan) (Rev 0A) (SGB Enhanced).gb,1048576,1fb6c264e950d97ce3fd99b347e485b2150df4ff,09a083624c4f84ccae99165d4091e7c5403aaf9ae44329a9349b4d59b4095436,4ec85504,GB/GBC,,0,MBC3+RAM+BATTERY,32 KiB SRAM,False,DMG,True,True,True
1,YELLOW,Pikachu,Rev B / header v1,original-remake-source,Pocket Monsters - Pikachu (Japan) (Rev B) (SGB Enhanced).gb,1048576,28e4b8531ea4ea1de5a396fccb0cfba51b06b149,1acab20d1aa3e19c081abaac3e303c4cf3e582213937acbf25942b31c28aecfe,a2545d33,GB/GBC,,1,MBC3+RAM+BATTERY,32 KiB SRAM,False,DMG,True,True,True
1,YELLOW,Pikachu,Rev C / header v2,original-remake-source,Pocket Monsters - Pikachu (Japan) (Rev C) (SGB Enhanced).gb,1048576,91864ecdf26d1c593bde4d9ed615520eb57d5e41,2c67561f6b2de4ca3a1150f04dc736aead4bf7b5a98ce38196cef899a91be2fd,fd3da7ff,GB/GBC,,2,MBC3+RAM+BATTERY,32 KiB SRAM,False,DMG,True,True,True
1,YELLOW,Pikachu,Rev D / header v3,original-remake-source,Pocket Monsters - Pikachu (Japan) (Rev D) (SGB Enhanced).gb,1048576,a40298a8123613ee60cd7aab204d788b8425976e,1349408f328f633b33e059e654edabd19810530df9c883eda03a85d5bb10161a,e9e6483a,GB/GBC,,3,MBC3+RAM+BATTERY,32 KiB SRAM,False,DMG,True,True,True
2,CRYSTAL,Crystal,Rev 0,original-remake-source,Pocket Monsters - Crystal Version (Japan).gbc,2097152,95127b901bbce2407daf43cce9f45d4c27ef635d,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,270c4ecc,GB/GBC,,0,MBC3+TIMER+RAM+BATTERY,64 KiB SRAM,True,CGB-only,False,True,True
2,GOLD,Kin,Rev 0,original-remake-source,Pocket Monsters Kin (Japan).gbc,1048576,8814f1039450a5d3684b1389f588ccd7ee7c3436,7cfeceae00737a1f0713c9ab0b3a9e6eb8d05ff6002eb81308072a6f85e385e7,524478d4,GB/GBC,,0,MBC3+TIMER+RAM+BATTERY,32 KiB SRAM,True,CGB-compatible,True,True,True
2,GOLD,Kin,Rev A,original-remake-source,Pocket Monsters Kin (Japan) (Rev A).gbc,1048576,a222402235d484ee8e39f3f31bae57cf13daf585,27a07a1d3faf9c6a0b1b60d5e88ee3a4159a751a47b4c46ab09f1202d52bac3e,4ef7f2a5,GB/GBC,,1,MBC3+TIMER+RAM+BATTERY,32 KiB SRAM,True,CGB-compatible,True,True,True
2,SILVER,Gin,Rev 0,original-remake-source,Pocket Monsters Gin (Japan).gbc,1048576,fa8c51059c1642faa570db56ef089f54d1d2011f,0a532063a3ff5750a464582aa7bbee2b6d42e1a92a136d9f4590e373487b615c,be1b928a,GB/GBC,,0,MBC3+TIMER+RAM+BATTERY,32 KiB SRAM,True,CGB-compatible,True,True,True
2,SILVER,Gin,Rev A,original-remake-source,Pocket Monsters Gin (Japan) (Rev A).gbc,1048576,a11d5ddc26eb826086593f82370b15d16404d33e,99e5267fbf5a7748d4f3b75ba1990cb5d91348339468607a04bfbc6081c62d71,0aea5383,GB/GBC,,1,MBC3+TIMER+RAM+BATTERY,32 KiB SRAM,True,CGB-compatible,True,True,True
3,EMERALD,Emerald,Rev 0,gba-engine-reference,Pocket Monsters - Emerald (Japan).gba,16777216,d7cf8f156ba9c455d164e1ea780a6bf1945465c2,33f5610b9186b4add09fef68895deb00f552b997b3d133b5a961e5123506343c,4881f3f8,GBA,BPEJ,0,GBA Game Pak,128 KiB Flash,True,,,True,
3,FIRERED,FireRed,Rev 0,official-gen1-remake-reference,Pocket Monsters - Fire Red (Japan).gba,16777216,04139887b6cd8f53269aca098295b006ddba6cfe,1e4af44b0c75cc8649bfb8649dc4ae5850bf5358bd6b9cd0bf779c99f9db1486,3b2056e9,GBA,BPRJ,0,GBA Game Pak,128 KiB Flash,False,,,True,
3,FIRERED,FireRed,Rev 1,official-gen1-remake-reference,Pocket Monsters - Fire Red (Japan) (Rev 1).gba,16777216,7c7107b87c3ccf6e3dbceb9cf80ceeffb25a1857,cec5fc4dbe38cd8026bd6664a1a041d9dc91e8d4249bab04e7bde70c3cdf4e06,bb640df7,GBA,BPRJ,1,GBA Game Pak,128 KiB Flash,False,,,True,
3,LEAFGREEN,LeafGreen,Rev 0,official-gen1-remake-reference,Pocket Monsters - Leaf Green (Japan).gba,16777216,5946f1b59e8d71cc61249661464d864185c92a5f,2957b392dc09fc8df45a660af5493368d7bd378d299862f4cc115998e9da0bf2,0a48556b,GBA,BPGJ,0,GBA Game Pak,128 KiB Flash,False,,,True,
3,RUBY,Ruby,Rev 0,gba-engine-reference,Pocket Monsters - Ruby (Japan).gba,8388608,5c5e546720300b99ae45d2aa35c646c8b8ff5c56,e911caa1ffbf8704cd45bbe064ade40e24efa50dfdce82adf4b2899b5f733852,cee9471a,GBA,AXVJ,0,GBA Game Pak,128 KiB Flash,True,,,True,
3,SAPPHIRE,Sapphire,Rev 0,gba-engine-reference,Pocket Monsters - Sapphire (Japan).gba,8388608,3233342c2f3087e6ffe6c1791cd5867db07df842,6a5ff7656531ab41d1ea9cd8f2d045ab6228405b43f3ee09ea3ff5077c0f60c9,fd1eeb78,GBA,AXPJ,0,GBA Game Pak,128 KiB Flash,True,,,True,
