generation,project,title,revision,filename,evolution_storage,learnset_pointer_table,record_notes
1,RED,Aka,Rev 0,Pocket Monsters - Aka (Japan) (SGB Enhanced).gb,combined-per-species,0x3B427,"190 internal species pointers; evo list then level/move list"
1,RED,Aka,Rev A,Pocket Monsters - Aka (Japan) (Rev A) (SGB Enhanced).gb,combined-per-species,0x3B427,"190 internal species pointers; evo list then level/move list"
1,GREEN,Midori,Rev 0,Pocket Monsters - Midori (Japan) (SGB Enhanced).gb,combined-per-species,0x3B427,"190 internal species pointers; evo list then level/move list"
1,GREEN,Midori,Rev A,Pocket Monsters - Midori (Japan) (Rev A) (SGB Enhanced).gb,combined-per-species,0x3B427,"190 internal species pointers; evo list then level/move list"
1,BLUE,Ao,Rev 0,Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,combined-per-species,0x3B427,"190 internal species pointers; evo list then level/move list"
1,YELLOW,Pikachu,Rev 0A / header v0,Pocket Monsters - Pikachu (Japan) (Rev 0A) (SGB Enhanced).gb,combined-per-species,0x3B59C,"190 internal species pointers; evo list then level/move list"
1,YELLOW,Pikachu,Rev B / header v1,Pocket Monsters - Pikachu (Japan) (Rev B) (SGB Enhanced).gb,combined-per-species,0x3B59C,"190 internal species pointers; evo list then level/move list"
1,YELLOW,Pikachu,Rev C / header v2,Pocket Monsters - Pikachu (Japan) (Rev C) (SGB Enhanced).gb,combined-per-species,0x3B59C,"190 internal species pointers; evo list then level/move list"
1,YELLOW,Pikachu,Rev D / header v3,Pocket Monsters - Pikachu (Japan) (Rev D) (SGB Enhanced).gb,combined-per-species,0x3B59C,"190 internal species pointers; evo list then level/move list"
2,GOLD,Kin,Rev 0,Pocket Monsters Kin (Japan).gbc,combined-per-species,0x4295F,"251 National Dex pointers; evo list then level/move list"
2,GOLD,Kin,Rev A,Pocket Monsters Kin (Japan) (Rev A).gbc,combined-per-species,0x4295F,"251 National Dex pointers; evo list then level/move list"
2,SILVER,Gin,Rev 0,Pocket Monsters Gin (Japan).gbc,combined-per-species,0x4295F,"251 National Dex pointers; evo list then level/move list"
2,SILVER,Gin,Rev A,Pocket Monsters Gin (Japan) (Rev A).gbc,combined-per-species,0x4295F,"251 National Dex pointers; evo list then level/move list"
2,CRYSTAL,Crystal,Rev 0,Pocket Monsters - Crystal Version (Japan).gbc,combined-per-species,0x42753,"251 National Dex pointers; evo list then level/move list"
3,RUBY,Ruby,Rev 0,Pocket Monsters - Ruby (Japan).gba,0x1D591C,0x1D997C,"evolution row = 5 x 8-byte ABI slots; level-up pointer array = 412 u32 pointers"
3,SAPPHIRE,Sapphire,Rev 0,Pocket Monsters - Sapphire (Japan).gba,0x1D58AC,0x1D990C,"evolution row = 5 x 8-byte ABI slots; level-up pointer array = 412 u32 pointers"
3,EMERALD,Emerald,Rev 0,Pocket Monsters - Emerald (Japan).gba,0x2F5CA4,0x2F9D04,"evolution row = 5 x 8-byte ABI slots; level-up pointer array = 412 u32 pointers"
3,FIRERED,FireRed,Rev 0,Pocket Monsters - Fire Red (Japan).gba,0x21615C,0x21A1BC,"evolution row = 5 x 8-byte ABI slots; level-up pointer array = 412 u32 pointers"
3,FIRERED,FireRed,Rev 1,Pocket Monsters - Fire Red (Japan) (Rev 1).gba,0x211974,0x2159D4,"evolution row = 5 x 8-byte ABI slots; level-up pointer array = 412 u32 pointers"
3,LEAFGREEN,LeafGreen,Rev 0,Pocket Monsters - Leaf Green (Japan).gba,0x21613C,0x21A19C,"evolution row = 5 x 8-byte ABI slots; level-up pointer array = 412 u32 pointers"
