generation,project,title,revision,map_slots,active_or_parsed_maps,connections,warps,coord_events,bg_events,objects
1,RED,Aka,Rev 0,248,226,78,813,0,204,924
1,RED,Aka,Rev A,248,226,78,813,0,204,924
1,GREEN,Midori,Rev 0,248,226,78,813,0,204,924
1,GREEN,Midori,Rev A,248,226,78,813,0,204,924
1,BLUE,Ao,Rev 0,248,226,78,813,0,204,924
1,YELLOW,Pikachu,Rev 0A,249,227,78,817,0,204,949
1,YELLOW,Pikachu,Rev B,249,227,78,817,0,204,949
1,YELLOW,Pikachu,Rev C,249,227,78,817,0,204,949
1,YELLOW,Pikachu,Rev D,249,227,78,817,0,204,949
2,GOLD,Kin,Rev 0,368,368,142,1241,102,761,1343
2,GOLD,Kin,Rev A,368,368,142,1241,102,761,1343
2,SILVER,Gin,Rev 0,368,368,142,1241,102,761,1343
2,SILVER,Gin,Rev A,368,368,142,1241,102,761,1343
2,CRYSTAL,Crystal,Rev 0,388,388,142,1312,114,810,1471
3,RUBY,Ruby,Rev 0,394,394,134,1156,312,676,2268
3,SAPPHIRE,Sapphire,Rev 0,394,394,134,1156,312,676,2268
3,EMERALD,Emerald,Rev 0,518,518,148,1313,377,720,2942
3,FIRERED,FireRed,Rev 0,425,425,116,1294,228,702,1647
3,FIRERED,FireRed,Rev 1,425,425,116,1294,228,702,1647
3,LEAFGREEN,LeafGreen,Rev 0,425,425,116,1294,228,702,1647
