generation,project_family,system,rom_verified_location,structure,semantic_profile
1,Aka/Midori,Good Rod,0xE3CE,"2 fixed choices","Lv10 Goldeen / Lv10 Poliwag"
1,Ao,Good Rod,0xE3F3,"2 fixed choices","Lv10 Goldeen / Lv10 Poliwag"
1,Pikachu Rev0A,Good Rod,0xE241,"2 fixed choices","Lv10 Goldeen / Lv10 Poliwag"
1,Pikachu RevB/C/D,Good Rod,0xE238,"2 fixed choices","Lv10 Goldeen / Lv10 Poliwag"
1,Aka/Midori,Super Rod,0xEC24,"33 map->group records; 10 shared groups","same semantics as Ao; grouped profile"
1,Ao,Super Rod,0xEC49,"33 map->group records; 10 shared groups","same semantics as Aka/Midori; relocated"
1,Pikachu all revisions,Super Rod,0xA4C7D,"31 map records x 4 direct slots","Yellow-specific direct profile"
1,All,Old Rod,code-only,"hardcoded","Magikarp Lv5"
2,Kin/Gin,FishGroups root,0x92946,"13 FishGroups","Old/Good/Super + time substitutions"
2,Crystal,FishGroups root,0x929FB,"13 FishGroups","same core fishing model"
2,Kin/Gin,grass swarms,0x2BF02,"4 profiles","Yanma / Snubbull / Dunsparce / Marill"
2,Kin/Gin,water swarms,0x2BFBF,"1 profile","Marill"
2,Crystal,grass swarms,0x2B8F3,"2 profiles","Dunsparce / Yanma"
2,Crystal,water swarms,none,"0 profiles","none"
2,Kin/Gin,TreeMonMaps,0xBA3E6,"34 map mappings","Gold/Silver headbutt mapping"
2,Kin/Gin,RockMonMaps,0xBA44D,"4 map mappings","rock encounter mapping"
2,Kin/Gin,TreeMons pointers,0xBA470,"6 slots with aliases","Gold/Silver set family"
2,Crystal,TreeMonMaps,0xB823E,"34 map mappings","Crystal headbutt mapping"
2,Crystal,RockMonMaps,0xB82A5,"4 map mappings","rock encounter mapping"
2,Crystal,TreeMons pointers,0xB82C8,"8 functional slots plus unused alias","Crystal redesigned set family"
2,Kin/Gin,Bug-Catching Contest,0x97BDC,"10 active weighted entries + sentinel","same as Crystal"
2,Crystal,Bug-Catching Contest,0x97D49,"10 active weighted entries + sentinel","same as Kin/Gin"
2,Kin/Gin,Roamer route graph,0x2AA0E,"16-route adjacency graph","same semantics as Crystal"
2,Crystal,Roamer route graph,0x2A3FF,"16-route adjacency graph","same semantics as Kin/Gin"
2,Kin/Gin,Unlocked Unown sets,0x3EA07,"4 sets","A-K / L-R / S-W / X-Z"
2,Crystal,Unlocked Unown sets,0x3EBB8,"4 sets","A-K / L-R / S-W / X-Z"
3,Ruby/Sapphire/Emerald,Feebas special fishing,"Ruby 0x379AAC / Sapphire 0x379AA4 / Emerald 0x52E724","Route119; 447 candidates; 6 seeded spots","50% Feebas check on selected spot; Lv20-25"
3,Ruby/Sapphire,TV mass outbreak,"Ruby 0x3A68CC / Sapphire 0x3A68B0","save-backed outbreak","Surskit x4 route profiles + Skitty Route116"
3,Emerald,TV mass outbreak,0x568B40,"save-backed outbreak","Seedot/Nuzleaf profiles + Skitty Route116"
3,Ruby,Roamer,engine-logic,"persistent save-backed state","Latios Lv40"
3,Sapphire,Roamer,engine-logic,"persistent save-backed state","Latias Lv40"
3,Emerald,Roamer,engine-logic,"persistent save-backed state; TV selection","Latias or Latios Lv40"
3,FireRed/LeafGreen,Roamer,engine-logic,"persistent save-backed state; starter-dependent","Bulbasaur->Entei / Charmander->Suicune / Squirtle->Raikou; Lv50"
