id,ja,ko,en,source_commit
0,―――――,―――――,———,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
1,はたく,막치기,Pound,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,からてチョップ,태권당수,Karate Chop,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
3,おうふくビンタ,연속뺨치기,Double Slap,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
4,れんぞくパンチ,연속펀치,Comet Punch,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
5,メガトンパンチ,메가톤펀치,Mega Punch,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
6,ネコにこばん,고양이돈받기,Pay Day,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
7,ほのおのパンチ,불꽃펀치,Fire Punch,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
8,れいとうパンチ,냉동펀치,Ice Punch,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
9,かみなりパンチ,번개펀치,Thunder Punch,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
10,ひっかく,할퀴기,Scratch,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
11,はさむ,찝기,Vise Grip,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
12,ハサミギロチン,가위자르기,Guillotine,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
13,かまいたち,칼바람,Razor Wind,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
14,つるぎのまい,칼춤,Swords Dance,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
15,いあいぎり,풀베기,Cut,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
16,かぜおこし,바람일으키기,Gust,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
17,つばさでうつ,날개치기,Wing Attack,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
18,ふきとばし,날려버리기,Whirlwind,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
19,そらをとぶ,공중날기,Fly,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
20,しめつける,조이기,Bind,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
21,たたきつける,힘껏치기,Slam,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
22,つるのムチ,덩굴채찍,Vine Whip,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
23,ふみつけ,짓밟기,Stomp,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
24,にどげり,두번차기,Double Kick,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
25,メガトンキック,메가톤킥,Mega Kick,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
26,とびげり,점프킥,Jump Kick,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
27,まわしげり,돌려차기,Rolling Kick,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
28,すなかけ,모래뿌리기,Sand Attack,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
29,ずつき,박치기,Headbutt,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
30,つのでつく,뿔찌르기,Horn Attack,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
31,みだれづき,마구찌르기,Fury Attack,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
32,つのドリル,뿔드릴,Horn Drill,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
33,たいあたり,몸통박치기,Tackle,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
