id,ja,ko,en,source_commit
0,タマゴ,알,Egg,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
1,フシギダネ,이상해씨,Bulbasaur,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,フシギソウ,이상해풀,Ivysaur,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
3,フシギバナ,이상해꽃,Venusaur,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
4,ヒトカゲ,파이리,Charmander,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
5,リザード,리자드,Charmeleon,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
6,リザードン,리자몽,Charizard,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
7,ゼニガメ,꼬부기,Squirtle,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
8,カメール,어니부기,Wartortle,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
9,カメックス,거북왕,Blastoise,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
10,キャタピー,캐터피,Caterpie,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
11,トランセル,단데기,Metapod,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
12,バタフリー,버터플,Butterfree,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
13,ビードル,뿔충이,Weedle,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
14,コクーン,딱충이,Kakuna,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
15,スピアー,독침붕,Beedrill,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
16,ポッポ,구구,Pidgey,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
17,ピジョン,피죤,Pidgeotto,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
18,ピジョット,피죤투,Pidgeot,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
19,コラッタ,꼬렛,Rattata,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
20,ラッタ,레트라,Raticate,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
21,オニスズメ,깨비참,Spearow,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
22,オニドリル,깨비드릴조,Fearow,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
23,アーボ,아보,Ekans,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
24,アーボック,아보크,Arbok,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
25,ピカチュウ,피카츄,Pikachu,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
26,ライチュウ,라이츄,Raichu,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
27,サンド,모래두지,Sandshrew,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
28,サンドパン,고지,Sandslash,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
29,ニドラン♀,니드런♀,Nidoran♀,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
30,ニドリーナ,니드리나,Nidorina,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
31,ニドクイン,니드퀸,Nidoqueen,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
32,ニドラン♂,니드런♂,Nidoran♂,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
33,ニドリーノ,니드리노,Nidorino,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
34,ニドキング,니드킹,Nidoking,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
35,ピッピ,삐삐,Clefairy,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
36,ピクシー,픽시,Clefable,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
37,ロコン,식스테일,Vulpix,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
38,キュウコン,나인테일,Ninetales,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
39,プリン,푸린,Jigglypuff,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
40,プクリン,푸크린,Wigglytuff,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
41,ズバット,주뱃,Zubat,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
42,ゴルバット,골뱃,Golbat,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
43,ナゾノクサ,뚜벅쵸,Oddish,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
44,クサイハナ,냄새꼬,Gloom,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
45,ラフレシア,라플레시아,Vileplume,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
46,パラス,파라스,Paras,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
47,パラセクト,파라섹트,Parasect,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
48,コンパン,콘팡,Venonat,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
49,モルフォン,도나리,Venomoth,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
50,ディグダ,디그다,Diglett,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
51,ダグトリオ,닥트리오,Dugtrio,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
52,ニャース,나옹,Meowth,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
53,ペルシアン,페르시온,Persian,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
54,コダック,고라파덕,Psyduck,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
55,ゴルダック,골덕,Golduck,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
56,マンキー,망키,Mankey,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
57,オコリザル,성원숭,Primeape,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
58,ガーディ,가디,Growlithe,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
59,ウインディ,윈디,Arcanine,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
60,ニョロモ,발챙이,Poliwag,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
61,ニョロゾ,슈륙챙이,Poliwhirl,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
62,ニョロボン,강챙이,Poliwrath,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
63,ケーシィ,캐이시,Abra,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
64,ユンゲラー,윤겔라,Kadabra,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
65,フーディン,후딘,Alakazam,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
66,ワンリキー,알통몬,Machop,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
67,ゴーリキー,근육몬,Machoke,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
68,カイリキー,괴력몬,Machamp,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
69,マダツボミ,모다피,Bellsprout,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
70,ウツドン,우츠동,Weepinbell,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
71,ウツボット,우츠보트,Victreebel,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
72,メノクラゲ,왕눈해,Tentacool,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
73,ドククラゲ,독파리,Tentacruel,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
74,イシツブテ,꼬마돌,Geodude,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
75,ゴローン,데구리,Graveler,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
76,ゴローニャ,딱구리,Golem,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
77,ポニータ,포니타,Ponyta,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
78,ギャロップ,날쌩마,Rapidash,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
79,ヤドン,야돈,Slowpoke,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
80,ヤドラン,야도란,Slowbro,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
81,コイル,코일,Magnemite,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
82,レアコイル,레어코일,Magneton,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
83,カモネギ,파오리,Farfetch’d,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
84,ドードー,두두,Doduo,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
85,ドードリオ,두트리오,Dodrio,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
86,パウワウ,쥬쥬,Seel,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
87,ジュゴン,쥬레곤,Dewgong,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
88,ベトベター,질퍽이,Grimer,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
89,ベトベトン,질뻐기,Muk,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
90,シェルダー,셀러,Shellder,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
91,パルシェン,파르셀,Cloyster,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
92,ゴース,고오스,Gastly,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
93,ゴースト,고우스트,Haunter,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
94,ゲンガー,팬텀,Gengar,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
95,イワーク,롱스톤,Onix,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
96,スリープ,슬리프,Drowzee,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
97,スリーパー,슬리퍼,Hypno,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
98,クラブ,크랩,Krabby,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
99,キングラー,킹크랩,Kingler,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
100,ビリリダマ,찌리리공,Voltorb,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
101,マルマイン,붐볼,Electrode,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
102,タマタマ,아라리,Exeggcute,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
103,ナッシー,나시,Exeggutor,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
104,カラカラ,탕구리,Cubone,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
105,ガラガラ,텅구리,Marowak,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
106,サワムラー,시라소몬,Hitmonlee,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
107,エビワラー,홍수몬,Hitmonchan,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
108,ベロリンガ,내루미,Lickitung,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
109,ドガース,또가스,Koffing,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
110,マタドガス,또도가스,Weezing,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
