section,manifest,file_count,use_policy,source_commit
root,manifests/pkhex/root-files.csv,9,reference_only,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
pkm,manifests/pkhex/pkm-files.csv,183,extract_normalize_verify,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
personalinfo,manifests/pkhex/personalinfo-files.csv,48,extract_normalize_verify,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
items,manifests/pkhex/items-files.csv,49,extract_normalize_verify,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
moves,manifests/pkhex/moves-files.csv,16,extract_normalize_verify,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
saves,manifests/pkhex/saves-files.csv,617,extract_normalize_verify,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
legality,manifests/pkhex/legality-files.csv,642,extract_normalize_verify,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
resources,manifests/pkhex/resources-files.csv,1731,extract_normalize_verify,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
mysterygifts,manifests/pkhex/mysterygifts-files.csv,21,extract_normalize_verify,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
ribbons,manifests/pkhex/ribbons-files.csv,20,extract_normalize_verify,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
game,manifests/pkhex/game-files.csv,41,extract_normalize_verify,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
editing,manifests/pkhex/editing-files.csv,160,algorithm_reference,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
winforms,manifests/pkhex/winforms-files.csv,501,do_not_import_ui,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
drawing,manifests/pkhex/drawing-files.csv,3,do_not_import_ui,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
drawing_misc,manifests/pkhex/drawing-misc-files.csv,863,do_not_import_ui,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
drawing_pokesprite,manifests/pkhex/drawing-pokesprite-files.csv,6460,do_not_import_asset_provenance_review,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
tests,manifests/pkhex/tests-files.csv,264,verification_reference,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
github,manifests/pkhex/github-files.csv,15,reference_only,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
