path,root,size,blob_sha,category,action,role,source_commit
.editorconfig,.editorconfig,4126,3fd23ff3100836adeecb3dd447413adef5bc1844,project_meta,reference_only,Repository/build metadata,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
.gitattributes,.gitattributes,483,0b6acf184bc03fc9f7e8260a59577fd936784c52,project_meta,reference_only,Repository/build metadata,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
.github/CODE_OF_CONDUCT.md,.github,257,9804a8f7765a705c153efbb73a16178bb2278caf,ci_meta,reference_only,Upstream CI/repository metadata,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
.github/CONTRIBUTING.md,.github,1798,e231c2c966d89d9df0ec80d1613c711eec21f12e,ci_meta,reference_only,Upstream CI/repository metadata,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
.github/FUNDING.yml,.github,639,0eb2fd5239631678544cd525396e9e2503a19579,ci_meta,reference_only,Upstream CI/repository metadata,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
.github/ISSUE_TEMPLATE/bug-report--non-legality-.md,.github,576,0f0dccc08980b185d5cc4ee2c893c49e8fb4dbd9,ci_meta,reference_only,Upstream CI/repository metadata,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
.github/ISSUE_TEMPLATE/feature_request.md,.github,793,44ccf48c8b810cda9c8dd447333afd8aebef5bca,ci_meta,reference_only,Upstream CI/repository metadata,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
.github/ISSUE_TEMPLATE/legality-parsing-report.md,.github,647,635979fdcca65a27c5dae6d9323b1f57fb8318f0,ci_meta,reference_only,Upstream CI/repository metadata,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
.github/PULL_REQUEST_TEMPLATE/pull_request_template_fix.md,.github,199,926a31be86e071bf13766aeefe557bce4c9a5d37,ci_meta,reference_only,Upstream CI/repository metadata,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
.github/PULL_REQUEST_TEMPLATE/pull_request_template_improvement.md,.github,224,7c1369be06e4e468e15a48db9b9f0ade0374781f,ci_meta,reference_only,Upstream CI/repository metadata,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
.github/README-de.md,.github,2852,f64e435b3e515855e7039aa66661afbd707be22e,ci_meta,reference_only,Upstream CI/repository metadata,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
.github/README-es.md,.github,2961,64a223afb5a190270b97b9b04802f1763c58d93d,ci_meta,reference_only,Upstream CI/repository metadata,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
.github/README-fr.md,.github,3154,2bf6e512c2a73df051c30e7f556cbececc95c4f9,ci_meta,reference_only,Upstream CI/repository metadata,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
.github/README-it.md,.github,2907,6f4c6031c290ea5f3791a52fca1d6679478fa21e,ci_meta,reference_only,Upstream CI/repository metadata,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
.github/README-ko.md,.github,3195,3f2d71544c43dac91836829b9c8aa7beb9b6890f,ci_meta,reference_only,Upstream CI/repository metadata,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
.github/README-zh-Hans.md,.github,2558,412b532bc51f89df4939654375c30c57915d357b,ci_meta,reference_only,Upstream CI/repository metadata,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
.github/README-zh-Hant.md,.github,2528,a1a3a06cdc3af4c753462893a1cf3b90733f7c84,ci_meta,reference_only,Upstream CI/repository metadata,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
.gitignore,.gitignore,2855,cedfb9207dc1b9032c0e2796339b86807ca953bf,project_meta,reference_only,Repository/build metadata,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
Directory.Build.props,Directory.Build.props,432,e5f04eb011a5b5d69d847d621d2b901dbb6a6fe7,project_meta,reference_only,Repository/build metadata,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
icon.png,icon.png,3281,47a155cad203beef4c0ee19c65f0166ad71106f2,project_meta,reference_only,Repository/build metadata,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
LICENSE,LICENSE,35178,16d89e0a34c0bc274e1939e28a3f98ee2b380858,project_meta,reference_only,Repository/build metadata,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Applicators/BallApplicator.cs,PKHeX.Core,6388,3c0c9833023d791cd8d59c1ef02089e9c5cee19e,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Applicators/CatchRateApplicator.cs,PKHeX.Core,1865,8b019d9061b45d19489e4679ebfdf4e643af2fbd,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Applicators/GenderApplicator.cs,PKHeX.Core,2861,102cd3b9db9c05b89dc3f380b76dc72836290801,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Applicators/HiddenPowerApplicator.cs,PKHeX.Core,1004,7e6cf3bb8507aa9d41820f40f6c68b463ef3125f,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Applicators/MarkingApplicator.cs,PKHeX.Core,3190,d7a8598b2761cddd7114e941ccb7c580bb42eb8c,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Applicators/MemoryApplicator.cs,PKHeX.Core,1872,41f51cf0bacbb8d19c76253cd96008814ce69690,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Applicators/MoveApplicator.cs,PKHeX.Core,3168,02c1cf6572e9bfb1e8ffb1366cb3510b4992427e,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Applicators/MoveSetApplicator.cs,PKHeX.Core,4185,4357efbe48ed19ebd49679ba2b358f381a41df64,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Applicators/MoveShopRecordApplicator.cs,PKHeX.Core,7047,e27d9201ae4ad2213c79fe82619038a3d1a4aaae,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Applicators/PersonalColorUtil.cs,PKHeX.Core,2308,fecdbf716ca2552b81ea992448feb1ad622abc5b,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Applicators/PlusRecordApplicator.cs,PKHeX.Core,8356,f57e8aa11a893d2396501efbd8a01437918ef4b7,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Applicators/RibbonApplicator.cs,PKHeX.Core,4063,d18b4573d6b4ec34ec4cb5dd612352e1eb3dafe7,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Applicators/TechnicalRecordApplicator.cs,PKHeX.Core,8282,e8b13d4f766e48bde9bee32547b6d5c3ee1d4f69,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/BattleTemplate/BattleTemplateConfig.cs,PKHeX.Core,9424,a6f223ed91033603bf55e6fc937432239a223d91,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/BattleTemplate/BattleTemplateDisplayStyle.cs,PKHeX.Core,255,e1691898b95c5f44535c8b1e294ae9e21b4a351b,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/BattleTemplate/BattleTemplateExportSettings.cs,PKHeX.Core,3236,9f4ecdaeec7917afa33368f2b48c476e5c6e80df,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/BattleTemplate/BattleTemplateLocalization.cs,PKHeX.Core,2737,2c2a6727442993952d1ffc59e03171cedfa68055,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/BattleTemplate/BattleTemplateToken.cs,PKHeX.Core,1403,568c2f2c3f34a1f9cea7abda363cdcd828e697d1,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/BattleTemplate/BattleTemplateTypeSetting.cs,PKHeX.Core,3667,3bb046f6154d9055002c363fd259e7302294d061,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/BattleTemplate/Errors/BattleTemplateParseError.cs,PKHeX.Core,248,2e0b61ccd488d863f5add813e0fc74dfaf11188a,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/BattleTemplate/Errors/BattleTemplateParseErrorLocalization.cs,PKHeX.Core,3346,9126451874753ab4c8a9a1af2255a6d179cde326,editing_logic,reference_only,Editor-side mutation/application logic,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
