bucket,file_count,policy
ci_meta,15,reference_only
core_editing,160,extract_semantics_and_metadata
core_game,41,extract_semantics_and_metadata
core_items,49,extract_semantics_and_metadata
core_legality,642,extract_semantics_and_metadata
core_moves,16,extract_semantics_and_metadata
core_mystery_gifts,21,extract_semantics_and_metadata
core_other,21,extract_semantics_and_metadata
core_personal,48,extract_semantics_and_metadata
core_pkm,183,extract_semantics_and_metadata
core_resources,1731,extract_semantics_and_metadata
core_ribbons,20,extract_semantics_and_metadata
core_saves,617,extract_semantics_and_metadata
drawing_misc,863,reference_only_do_not_copy_assets
drawing_pokesprite,6460,reference_only_do_not_copy_assets
repo_meta,12,reference_only
tests,264,reference_for_validation
winforms_ui,501,reference_only_ui_not_target_runtime
