source_generation,source_item_id,destination_generation,destination_item_id,transferable,source_path,source_commit
2,0,4,0,no,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,1,4,1,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,2,4,2,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,3,4,213,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,4,4,3,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,5,4,4,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,6,4,128,no,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,7,4,450,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,8,4,81,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,9,4,18,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,10,4,19,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,11,4,20,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,12,4,21,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,13,4,22,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,14,4,23,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,15,4,24,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,16,4,25,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,17,4,26,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,18,4,17,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,19,4,78,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,20,4,79,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,21,4,41,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,22,4,82,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,23,4,83,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,24,4,84,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,25,4,128,no,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,26,4,45,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,27,4,46,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,28,4,47,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,29,4,48,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,30,4,256,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,31,4,49,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,32,4,50,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,33,4,60,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,34,4,85,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,35,4,257,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,36,4,92,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,37,4,63,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,38,4,27,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,39,4,28,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,40,4,29,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,41,4,55,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,42,4,76,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,43,4,77,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,44,4,56,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,45,4,128,no,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,46,4,30,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,47,4,31,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,48,4,32,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,49,4,57,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,50,4,128,no,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,51,4,58,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,52,4,59,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,53,4,61,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,54,4,444,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,55,4,128,no,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,56,4,128,no,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,57,4,216,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,58,4,445,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,59,4,446,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,60,4,128,no,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,61,4,447,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
2,62,4,51,yes,PKHeX.Core/PKM/Util/Conversion/ItemConverter.cs,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
