path,git_blob_sha,size_bytes,domain,action,priority,reason,source_commit
.github/CODE_OF_CONDUCT.md,,,project_infra,reference_only,low,PKHeX CI/project configuration,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
.github/CONTRIBUTING.md,,,project_infra,reference_only,low,PKHeX CI/project configuration,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
.github/FUNDING.yml,,,project_infra,reference_only,low,PKHeX CI/project configuration,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
.github/ISSUE_TEMPLATE/bug-report--non-legality-.md,,,project_infra,reference_only,low,PKHeX CI/project configuration,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
.github/ISSUE_TEMPLATE/feature_request.md,,,project_infra,reference_only,low,PKHeX CI/project configuration,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
.github/ISSUE_TEMPLATE/legality-parsing-report.md,,,project_infra,reference_only,low,PKHeX CI/project configuration,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
.github/PULL_REQUEST_TEMPLATE/pull_request_template_fix.md,,,project_infra,reference_only,low,PKHeX CI/project configuration,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
.github/PULL_REQUEST_TEMPLATE/pull_request_template_improvement.md,,,project_infra,reference_only,low,PKHeX CI/project configuration,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
.github/README-de.md,,,project_infra,reference_only,low,PKHeX CI/project configuration,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
.github/README-es.md,,,project_infra,reference_only,low,PKHeX CI/project configuration,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
.github/README-fr.md,,,project_infra,reference_only,low,PKHeX CI/project configuration,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
.github/README-it.md,,,project_infra,reference_only,low,PKHeX CI/project configuration,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
.github/README-ko.md,,,project_infra,reference_only,low,PKHeX CI/project configuration,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
.github/README-zh-Hans.md,,,project_infra,reference_only,low,PKHeX CI/project configuration,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
.github/README-zh-Hant.md,,,project_infra,reference_only,low,PKHeX CI/project configuration,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Applicators/BallApplicator.cs,,,editing_semantics,reference_and_reimplement,medium,safe edit operations and computed properties,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Applicators/CatchRateApplicator.cs,,,editing_semantics,reference_and_reimplement,medium,safe edit operations and computed properties,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Applicators/GenderApplicator.cs,,,editing_semantics,reference_and_reimplement,medium,safe edit operations and computed properties,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Applicators/HiddenPowerApplicator.cs,,,editing_semantics,reference_and_reimplement,medium,safe edit operations and computed properties,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Applicators/MarkingApplicator.cs,,,editing_semantics,reference_and_reimplement,medium,safe edit operations and computed properties,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Applicators/MemoryApplicator.cs,,,editing_semantics,reference_and_reimplement,medium,safe edit operations and computed properties,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Applicators/MoveApplicator.cs,,,editing_semantics,reference_and_reimplement,medium,safe edit operations and computed properties,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
PKHeX.Core/Editing/Applicators/MoveSetApplicator.cs,,,editing_semantics,reference_and_reimplement,medium,safe edit operations and computed properties,8ad201e80244f630ab5a46922ab72fb79c5ad4f4
